charge_mass,range,elevation,pso,iso
0.46,0.69,0.00,108.39,89.63
0.46,0.69,0.69,103.97,62.05
0.46,1.37,0.00,57.36,62.05
0.46,1.37,0.69,43.30,55.16
0.46,2.06,0.00,48.81,55.16
0.46,2.06,0.69,22.27,41.37
0.46,2.74,0.00,44.26,41.37
0.46,2.74,0.69,26.20,41.37
0.46,4.11,0.00,24.27,41.37
0.46,4.11,0.69,12.89,34.47
0.46,5.49,0.00,24.82,34.47
0.46,5.49,1.37,15.93,27.58
0.46,1.37,0.00,91.63,62.05
0.46,1.37,0.69,65.22,48.26
0.46,2.74,0.00,52.61,41.37
0.46,2.74,0.69,21.10,34.47
0.46,5.49,0.00,19.79,27.58
0.46,5.49,0.69,10.55,27.58
3.63,0.69,0.00,205.74,248.21
3.63,0.69,0.69,203.88,151.68
3.63,1.37,0.00,248.21,199.95
3.63,1.37,0.69,150.51,158.58
3.63,2.06,0.00,185.12,220.63
3.63,2.06,0.69,96.39,193.05
3.63,2.74,0.00,112.45,172.37
3.63,2.74,0.69,48.61,137.90
3.63,4.11,0.00,66.88,137.90
3.63,4.11,0.69,46.82,137.90
3.63,5.49,0.00,51.37,124.11
3.63,5.49,1.37,39.16,124.11
3.63,1.37,0.00,195.74,255.11
3.63,2.74,0.00,168.23,172.37
3.63,2.74,0.69,169.54,172.37
3.63,5.49,0.00,53.78,96.53
3.63,5.49,0.69,38.40,110.32
6.80,0.69,0.00,271.24,241.32
6.80,1.37,0.00,270.96,227.53
6.80,1.37,0.69,144.38,344.74
6.80,2.06,0.00,214.50,199.95
6.80,2.74,0.00,159.13,206.84
6.80,2.74,0.69,57.78,186.16
6.80,4.11,0.00,97.91,172.37
6.80,4.11,0.69,53.78,158.58
6.80,5.49,0.00,63.02,151.68
6.80,5.49,1.37,41.37,144.79
6.80,1.37,0.00,287.17,268.90
6.80,2.74,0.00,214.84,220.63
6.80,2.74,0.69,250.49,255.11
6.80,5.49,0.00,78.95,131.00
6.80,5.49,0.69,51.09,117.21
