charge_mass,range,elevation,pso,iso
0.46,0.69,0,44.4,68.95
0.46,0.69,0.69,46.68,48.26
0.46,1.37,0,26.82,48.26
0.46,1.37,0.69,19.79,34.47
0.46,2.06,0,25.23,41.37
0.46,2.06,0.69,17.58,34.47
0.46,2.74,0,25.23,34.47
0.46,2.74,0.69,17.17,34.47
0.46,4.11,0,17.65,34.47
0.46,4.11,0.69,11.86,34.47
0.46,5.49,0,17.37,27.58
0.46,5.49,1.37,16.48,27.58
0.46,1.37,0,34.13,48.26
0.46,1.37,0.69,29.51,41.37
0.46,2.74,0,39.16,41.37
0.46,2.74,0.69,17.31,34.47
0.46,5.49,0,20.41,27.58
0.46,5.49,0.69,9.24,20.68
0.46,0.69,0,57.92,75.84
0.46,0.69,0.69,36.4,62.05
0.46,1.37,0,26.48,48.26
0.46,1.37,0.69,22.06,41.37
0.46,2.06,0,23.1,48.26
0.46,2.06,0.69,19.37,41.37
0.46,2.74,0,23.44,41.37
0.46,2.74,0.69,18.82,34.47
0.46,4.11,0,21.03,34.47
0.46,4.11,0.69,9.24,34.47
0.46,5.49,0,11.45,27.58
0.46,5.49,1.37,9.79,27.58
0.46,1.37,0,33.85,48.26
0.46,1.37,0.69,32.2,48.26
0.46,2.74,0,38.4,41.37
0.46,2.74,0.69,15.24,27.58
0.46,5.49,0,20.41,27.58
0.46,5.49,0.69,8.69,27.58
3.63,0.69,0,136.1,206.84
3.63,0.69,0.69,144.17,172.37
3.63,1.37,0,153.48,213.74
3.63,1.37,0.69,82.32,165.47
3.63,2.06,0,119.42,199.95
3.63,2.06,0.69,66.95,199.95
3.63,2.74,0,96.11,144.79
3.63,2.74,0.69,37.58,96.53
3.63,4.11,0,64.33,117.21
3.63,4.11,0.69,40.33,103.42
3.63,5.49,0,41.16,103.42
3.63,5.49,1.37,33.51,89.63
3.63,1.37,0,128.52,186.16
3.63,1.37,0.69,134.1,172.37
3.63,2.74,0,129.55,124.11
3.63,2.74,0.69,188.99,144.79
3.63,5.49,0,47.71,68.95
3.63,5.49,0.69,26.89,68.95
3.63,0.69,0,95.01,110.32
3.63,0.69,0.69,125.28,144.79
3.63,1.37,0,106.52,234.42
3.63,1.37,0.69,55.3,179.26
3.63,2.06,0,108.04,220.63
3.63,2.06,0.69,72.88,199.95
3.63,2.74,0,97.22,151.68
3.63,2.74,0.69,49.09,103.42
3.63,4.11,0,57.98,117.21
3.63,4.11,0.69,40.75,110.32
3.63,5.49,0,44.95,103.42
3.63,5.49,1.37,46.54,103.42
3.63,1.37,0,110.04,199.95
3.63,1.37,0.69,123.62,186.16
3.63,2.74,0,112.38,124.11
3.63,2.74,0.69,165.06,151.68
3.63,5.49,0,45.23,75.84
3.63,5.49,0.69,26.89,75.84
3.63,0.69,0,89.15,179.26
3.63,0.69,0.69,86.94,172.37
3.63,1.37,0,73.08,186.16
3.63,1.37,0.69,48.13,158.58
3.63,2.06,0,66.47,179.26
3.63,2.06,0.69,56.05,172.37
3.63,2.74,0,57.78,131
3.63,2.74,0.69,35.37,89.63
3.63,4.11,0,52.19,103.42
3.63,4.11,0.69,33.65,96.53
3.63,5.49,0,52.12,89.63
3.63,5.49,1.37,34.96,89.63
3.63,1.37,0,96.46,172.37
3.63,1.37,0.69,74.46,165.47
3.63,2.74,0,91.22,103.42
3.63,2.74,0.69,111.56,124.11
3.63,5.49,0,38.75,68.95
3.63,5.49,0.69,26.61,68.95
6.8,0.69,0,228.49,220.63
6.8,0.69,0.69,256.14,517.11
6.8,1.37,0,182.57,124.11
6.8,1.37,0.69,328.4,606.74
6.8,2.06,0,163.82,124.11
6.8,2.74,0,90.74,172.37
6.8,2.74,0.69,33.85,131
6.8,4.11,0,51.92,144.79
6.8,4.11,0.69,35.58,137.9
6.8,5.49,0,40.61,144.79
6.8,5.49,1.37,33.58,131
6.8,1.37,0,251.66,248.21
6.8,1.37,0.69,367.49,551.58
6.8,2.74,0,180.5,165.47
6.8,2.74,0.69,221.11,193.05
6.8,5.49,0,80.19,110.32
6.8,5.49,0.69,42.95,96.53
6.8,0.69,0,94.53,186.16
6.8,0.69,0.69,191.26,213.74
6.8,1.37,0,170.09,275.79
6.8,1.37,0.69,262.97,358.53
6.8,2.06,0,154.72,262
6.8,2.74,0,82.39,179.26
6.8,2.74,0.69,35.92,131
6.8,4.11,0,55.5,158.58
6.8,4.11,0.69,36.96,144.79
6.8,5.49,0,55.16,151.68
6.8,5.49,1.37,47.3,131
6.8,1.37,0,244.9,255.11
6.8,1.37,0.69,254.62,199.95
6.8,2.74,0,153.48,158.58
6.8,2.74,0.69,235.87,213.74
6.8,5.49,0,76.26,110.32
6.8,5.49,0.69,43.16,103.42
