Item_Identifier,Item_Type,Item_Area,Item_Material,Item_Weight,Material_Cost,Item_Cost,Item_height,Item_maxDeform,Item_maxShear,Item_maxBending,system_load,system_length,Vpl,Mpl,Usability,Shear failure,Bendig failure
IT01,IPE100,10.3,S235,0.04447025,2000,88.9405,100,33.295,-2.75,3.781,1,5.5,68.99,9.261,Case 3,NSFL,NBFL
IT02,IPE120,13.2,S235,0.056991,2000,113.982,120,17.947,-2.75,3.781,1,5.5,85.55,14.27,Case 2,NSFL,NBFL
IT03,IPE140,16.4,S235,0.070807,2000,141.614,140,10.557,-2.75,3.781,1,5.5,103.7,20.76,Case 1,NSFL,NBFL
IT04,IPE160,20.1,S235,0.08678175,2000,173.5635,160,6.587,-2.75,3.781,1,5.5,131,29.11,Case 1,NSFL,NBFL
IT05,IPE180,23.9,S235,0.10318825,2000,206.3765,180,4.359,-2.75,3.781,1,5.5,152.7,39.11,Case 1,NSFL,NBFL
IT06,IPE200,28.5,S235,0.12304875,2000,246.0975,200,2.963,-2.75,3.781,1,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT07,IPE220,33.4,S235,0.1442045,2000,288.409,220,2.084,-2.75,3.781,1,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT08,IPE240,39.1,S235,0.16881425,2000,337.6285,240,1.49,-2.75,3.781,1,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT09,IPE100,10.3,S235,0.04447025,2000,88.9405,100,49.943,-4.125,5.672,1.5,5.5,68.99,9.261,Case 3,NSFL,NBFL
IT10,IPE120,13.2,S235,0.056991,2000,113.982,120,26.921,-4.125,5.672,1.5,5.5,85.55,14.27,Case 3,NSFL,NBFL
IT11,IPE140,16.4,S235,0.070807,2000,141.614,140,15.835,-4.125,5.672,1.5,5.5,103.7,20.76,Case 2,NSFL,NBFL
IT12,IPE160,20.1,S235,0.08678175,2000,173.5635,160,9.881,-4.125,5.672,1.5,5.5,131,29.11,Case 1,NSFL,NBFL
IT13,IPE180,23.9,S235,0.10318825,2000,206.3765,180,6.538,-4.125,5.672,1.5,5.5,152.7,39.11,Case 1,NSFL,NBFL
IT14,IPE200,28.5,S235,0.12304875,2000,246.0975,200,4.444,-4.125,5.672,1.5,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT15,IPE220,33.4,S235,0.1442045,2000,288.409,220,3.126,-4.125,5.672,1.5,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT16,IPE240,39.1,S235,0.16881425,2000,337.6285,240,2.235,-4.125,5.672,1.5,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT17,IPE100,10.3,S235,0.04447025,2000,88.9405,100,66.591,-5.5,7.562,2,5.5,68.99,9.261,Case 3,NSFL,NBFL
IT18,IPE120,13.2,S235,0.056991,2000,113.982,120,35.895,-5.5,7.562,2,5.5,85.55,14.27,Case 3,NSFL,NBFL
IT19,IPE140,16.4,S235,0.070807,2000,141.614,140,21.114,-5.5,7.562,2,5.5,103.7,20.76,Case 3,NSFL,NBFL
IT20,IPE160,20.1,S235,0.08678175,2000,173.5635,160,13.174,-5.5,7.562,2,5.5,131,29.11,Case 2,NSFL,NBFL
IT21,IPE180,23.9,S235,0.10318825,2000,206.3765,180,8.718,-5.5,7.562,2,5.5,152.7,39.11,Case 1,NSFL,NBFL
IT22,IPE200,28.5,S235,0.12304875,2000,246.0975,200,5.925,-5.5,7.562,2,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT23,IPE220,33.4,S235,0.1442045,2000,288.409,220,4.168,-5.5,7.562,2,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT24,IPE240,39.1,S235,0.16881425,2000,337.6285,240,2.98,-5.5,7.562,2,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT25,IPE100,10.3,S235,0.04447025,2000,88.9405,100,83.238,-6.875,9.453,2.5,5.5,68.99,9.261,Case 3,NSFL,BFL
IT26,IPE120,13.2,S235,0.056991,2000,113.982,120,44.868,-6.875,9.453,2.5,5.5,85.55,14.27,Case 3,NSFL,NBFL
IT27,IPE140,16.4,S235,0.070807,2000,141.614,140,26.392,-6.875,9.453,2.5,5.5,103.7,20.76,Case 3,NSFL,NBFL
IT28,IPE160,20.1,S235,0.08678175,2000,173.5635,160,16.468,-6.875,9.453,2.5,5.5,131,29.11,Case 2,NSFL,NBFL
IT29,IPE180,23.9,S235,0.10318825,2000,206.3765,180,10.897,-6.875,9.453,2.5,5.5,152.7,39.11,Case 1,NSFL,NBFL
IT30,IPE200,28.5,S235,0.12304875,2000,246.0975,200,7.406,-6.875,9.453,2.5,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT31,IPE220,33.4,S235,0.1442045,2000,288.409,220,5.21,-6.875,9.453,2.5,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT32,IPE240,39.1,S235,0.16881425,2000,337.6285,240,3.725,-6.875,9.453,2.5,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT33,IPE100,10.3,S235,0.04447025,2000,88.9405,100,99.886,-8.25,11.343,3,5.5,68.99,9.261,Case 3,NSFL,BFL
IT34,IPE120,13.2,S235,0.056991,2000,113.982,120,53.842,-8.25,11.343,3,5.5,85.55,14.27,Case 3,NSFL,NBFL
IT35,IPE140,16.4,S235,0.070807,2000,141.614,140,31.671,-8.249,11.343,3,5.5,103.7,20.76,Case 3,NSFL,NBFL
IT36,IPE160,20.1,S235,0.08678175,2000,173.5635,160,19.761,-8.25,11.343,3,5.5,131,29.11,Case 3,NSFL,NBFL
IT37,IPE180,23.9,S235,0.10318825,2000,206.3765,180,13.076,-8.25,11.343,3,5.5,152.7,39.11,Case 2,NSFL,NBFL
IT38,IPE200,28.5,S235,0.12304875,2000,246.0975,200,8.888,-8.249,11.343,3,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT39,IPE220,33.4,S235,0.1442045,2000,288.409,220,6.252,-8.249,11.343,3,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT40,IPE240,39.1,S235,0.16881425,2000,337.6285,240,4.47,-8.25,11.343,3,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT41,IPE100,10.3,S235,0.04447025,2000,88.9405,100,116.534,-9.624,13.234,3.5,5.5,68.99,9.261,Case 3,NSFL,BFL
IT42,IPE120,13.2,S235,0.056991,2000,113.982,120,62.816,-9.624,13.234,3.5,5.5,85.55,14.27,Case 3,NSFL,NBFL
IT43,IPE140,16.4,S235,0.070807,2000,141.614,140,36.949,-9.624,13.234,3.5,5.5,103.7,20.76,Case 3,NSFL,NBFL
IT44,IPE160,20.1,S235,0.08678175,2000,173.5635,160,23.055,-9.624,13.234,3.5,5.5,131,29.11,Case 3,NSFL,NBFL
IT45,IPE180,23.9,S235,0.10318825,2000,206.3765,180,15.256,-9.625,13.234,3.5,5.5,152.7,39.11,Case 2,NSFL,NBFL
IT46,IPE200,28.5,S235,0.12304875,2000,246.0975,200,10.369,-9.624,13.234,3.5,5.5,189.9,51.85,Case 1,NSFL,NBFL
IT47,IPE220,33.4,S235,0.1442045,2000,288.409,220,7.293,-9.624,13.234,3.5,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT48,IPE240,39.1,S235,0.16881425,2000,337.6285,240,5.215,-9.624,13.234,3.5,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT49,IPE100,10.3,S235,0.04447025,2000,88.9405,100,133.181,-10.999,15.124,4,5.5,68.99,9.261,Case 3,NSFL,BFL
IT50,IPE120,13.2,S235,0.056991,2000,113.982,120,71.789,-10.999,15.124,4,5.5,85.55,14.27,Case 3,NSFL,BFL
IT51,IPE140,16.4,S235,0.070807,2000,141.614,140,42.227,-10.999,15.124,4,5.5,103.7,20.76,Case 3,NSFL,NBFL
IT52,IPE160,20.1,S235,0.08678175,2000,173.5635,160,26.348,-10.999,15.124,4,5.5,131,29.11,Case 3,NSFL,NBFL
IT53,IPE180,23.9,S235,0.10318825,2000,206.3765,180,17.435,-10.999,15.124,4,5.5,152.7,39.11,Case 2,NSFL,NBFL
IT54,IPE200,28.5,S235,0.12304875,2000,246.0975,200,11.85,-10.999,15.124,4,5.5,189.9,51.85,Case 2,NSFL,NBFL
IT55,IPE220,33.4,S235,0.1442045,2000,288.409,220,8.335,-10.999,15.124,4,5.5,215.5,67.07,Case 1,NSFL,NBFL
IT56,IPE240,39.1,S235,0.16881425,2000,337.6285,240,5.959,-10.999,15.124,4,5.5,259.7,86.16,Case 1,NSFL,NBFL
IT57,IPE100,10.3,S235,0.04447025,2000,88.9405,100,149.829,-12.374,17.015,4.5,5.5,68.99,9.261,Case 3,NSFL,BFL
IT58,IPE120,13.2,S235,0.056991,2000,113.982,120,80.763,-12.374,17.015,4.5,5.5,85.55,14.27,Case 3,NSFL,BFL
IT59,IPE140,16.4,S235,0.070807,2000,141.614,140,47.506,-12.374,17.015,4.5,5.5,103.7,20.76,Case 3,NSFL,NBFL
