W,L/D,theta,R,iso,pso
3.63,0.25,0,2.13,751.87,2672.82
3.63,0.25,0,3.35,307.99,858.47
3.63,0.25,0,4.88,108.8,111.7
3.63,0.25,0,6.4,76.88,59.02
3.63,0.25,0,7.92,61.16,36.54
3.63,0.25,0,9.45,51.92,25.44
3.63,0.25,0,2.13,716.64,3948.22
3.63,0.25,0,3.35,305.78,693.89
3.63,0.25,0,4.88,109.01,170.78
3.63,0.25,0,6.4,46.33,44.88
3.63,0.25,0,7.92,61.02,40.2
3.63,0.25,0,9.45,48.13,25.37
3.63,0.25,22.5,2.13,184.02,615.43
3.63,0.25,22.5,3.35,138.79,338.88
3.63,0.25,22.5,4.88,98.53,108.39
3.63,0.25,22.5,6.4,75.15,66.4
3.63,0.25,22.5,7.92,56.47,36.47
3.63,0.25,22.5,9.45,47.78,25.23
3.63,0.25,22.5,2.13,217.32,1003.19
3.63,0.25,22.5,3.35,124.31,321.71
3.63,0.25,22.5,4.88,95.63,112.66
3.63,0.25,22.5,6.4,67.36,45.02
3.63,0.25,22.5,7.92,56.74,36.82
3.63,0.25,22.5,9.45,45.78,25.58
3.63,0.25,45,2.13,123.83,303.02
3.63,0.25,45,3.35,109.01,129.83
3.63,0.25,45,4.88,107.77,55.92
3.63,0.25,45,6.4,79.84,40.4
3.63,0.25,45,7.92,63.91,26.61
3.63,0.25,45,9.45,57.5,22.41
3.63,0.25,45,2.13,125.42,281.31
3.63,0.25,45,3.35,116.31,115.63
3.63,0.25,45,4.88,102.11,64.47
3.63,0.25,45,6.4,76.6,36.96
3.63,0.25,45,7.92,63.36,26.96
3.63,0.25,45,9.45,52.68,20.27
3.63,0.25,45,2.13,121.62,278.2
3.63,0.25,45,3.35,122.24,133.9
3.63,0.25,45,4.88,102.8,57.36
3.63,0.25,45,6.4,78.26,38.75
3.63,0.25,45,7.92,62.33,26.27
3.63,0.25,45,9.45,56.19,24.13
3.63,0.25,67.5,2.13,128.38,189.26
3.63,0.25,67.5,3.35,103.42,136.24
3.63,0.25,67.5,4.88,82.05,59.43
3.63,0.25,67.5,6.4,71.64,45.37
3.63,0.25,67.5,7.92,59.85,29.23
3.63,0.25,67.5,9.45,54.19,24.34
3.63,0.25,67.5,2.13,133,191.67
3.63,0.25,67.5,3.35,105.15,124.38
3.63,0.25,67.5,4.88,84.81,71.15
3.63,0.25,67.5,6.4,66.47,42.61
3.63,0.25,67.5,7.92,58.33,30.06
3.63,0.25,67.5,9.45,50.54,22.48
3.63,0.25,90,2.13,120.93,202.84
3.63,0.25,90,3.35,85.63,70.46
3.63,0.25,90,4.88,83.43,35.58
3.63,0.25,90,6.4,67.29,39.99
3.63,0.25,90,7.92,56.67,28.41
3.63,0.25,90,9.45,53.3,23.92
3.63,0.25,90,2.13,134.31,335.09
3.63,0.25,90,3.35,87.84,73.22
3.63,0.25,90,4.88,74.12,37.58
3.63,0.25,90,6.4,62.95,33.99
3.63,0.25,90,7.92,55.36,27.23
3.63,0.25,90,9.45,47.44,21.51
3.63,0.25,90,2.13,143,315.57
3.63,0.25,90,3.35,90.67,76.6
3.63,0.25,90,4.88,79.63,38.06
3.63,0.25,90,6.4,57.5,21.65
3.63,0.25,90,7.92,57.02,26.61
3.63,0.25,90,9.45,49.92,20.55
3.63,0.25,90,2.13,110.52,239.94
3.63,0.25,90,3.35,94.8,83.15
3.63,0.25,90,4.88,88.12,37.71
3.63,0.25,90,6.4,73.29,42.33
3.63,0.25,90,7.92,57.78,28.2
3.63,0.25,90,9.45,53.64,23.86
3.63,0.25,112.5,2.13,135.83,178.09
3.63,0.25,112.5,3.35,108.45,129.21
3.63,0.25,112.5,4.88,85.22,72.19
3.63,0.25,112.5,6.4,64.74,42.89
3.63,0.25,112.5,7.92,58.26,29.99
3.63,0.25,112.5,9.45,50.81,23.1
3.63,0.25,112.5,2.13,128.17,184.16
3.63,0.25,112.5,3.35,110.04,133.83
3.63,0.25,112.5,4.88,75.5,61.36
3.63,0.25,112.5,6.4,65.36,44.82
3.63,0.25,112.5,7.92,55.85,28.27
3.63,0.25,112.5,9.45,51.09,22.13
3.63,0.25,135,2.13,159.96,338.12
3.63,0.25,135,3.35,99.01,129.83
3.63,0.25,135,4.88,100.8,56.88
3.63,0.25,135,6.4,75.98,36.89
3.63,0.25,135,7.92,62.33,26.54
3.63,0.25,135,9.45,55.02,19.58
3.63,0.25,135,2.13,133.83,280.82
3.63,0.25,135,3.35,142.38,131.35
3.63,0.25,135,4.88,97.29,56.12
3.63,0.25,135,6.4,81.84,42.33
3.63,0.25,135,7.92,64.81,27.17
3.63,0.25,135,9.45,55.57,21.44
3.63,0.25,135,2.13,146.86,291.99
3.63,0.25,135,3.35,121.69,118.25
3.63,0.25,135,4.88,99.49,65.84
3.63,0.25,135,6.4,59.29,30.06
3.63,0.25,135,7.92,61.98,25.65
3.63,0.25,135,9.45,51.3,19.86
3.63,0.25,157.5,2.13,248.97,1014.56
3.63,0.25,157.5,3.35,150.03,319.5
3.63,0.25,157.5,4.88,93.63,108.25
3.63,0.25,157.5,6.4,73.7,55.78
3.63,0.25,157.5,7.92,57.3,34.2
3.63,0.25,157.5,9.45,47.3,24.68
3.63,0.25,157.5,2.13,216.01,975.4
3.63,0.25,157.5,3.35,147.07,372.59
3.63,0.25,157.5,4.88,91.91,96.04
3.63,0.25,157.5,6.4,73.98,63.43
3.63,0.25,157.5,7.92,56.47,36.4
3.63,0.25,157.5,9.45,45.16,24.41
3.63,0.25,180,2.13,883.98,3158.35
3.63,0.25,180,3.35,243.04,310.68
3.63,0.25,180,4.88,120.73,160.99
3.63,0.25,180,6.4,81.84,72.53
3.63,0.25,180,7.92,59.64,32.54
3.63,0.25,180,9.45,49.37,22.75
3.63,0.25,180,2.13,527.04,1973
3.63,0.25,180,3.35,231.8,1041.25
3.63,0.25,180,4.88,133,87.91
3.63,0.25,180,6.4,91.49,46.19
3.63,0.25,180,7.92,64.67,12.89
3.63,0.25,180,9.45,55.16,25.37
3.63,0.5,0,3.35,222.63,595.71
3.63,0.5,0,4.88,107.83,117
3.63,0.5,0,6.4,74.67,68.53
3.63,0.5,0,7.92,50.88,33.99
3.63,0.5,0,9.45,45.85,24.82
3.63,0.5,45,2.13,189.33,378.11
3.63,0.5,45,3.35,139.21,159.82
3.63,0.5,45,4.88,110.87,83.5
3.63,0.5,45,6.4,85.56,57.02
3.63,0.5,45,7.92,68.6,36.27
3.63,0.5,45,9.45,59.09,28.13
3.63,0.5,90,2.13,146.24,402.86
3.63,0.5,90,3.35,100.73,138.38
