W,L/D,theta,R,pso
3.63,0.25,0,2.13,2672.82
3.63,0.25,0,3.35,858.47
3.63,0.25,0,4.88,111.7
3.63,0.25,0,6.4,59.02
3.63,0.25,0,7.92,36.54
3.63,0.25,0,9.45,25.44
3.63,0.25,0,2.13,3948.22
3.63,0.25,0,3.35,693.89
3.63,0.25,0,4.88,170.78
3.63,0.25,0,6.4,44.88
3.63,0.25,0,7.92,40.2
3.63,0.25,0,9.45,25.37
3.63,0.25,22.5,2.13,615.43
3.63,0.25,22.5,3.35,338.88
3.63,0.25,22.5,4.88,108.39
3.63,0.25,22.5,6.4,66.4
3.63,0.25,22.5,7.92,36.47
3.63,0.25,22.5,9.45,25.23
3.63,0.25,22.5,2.13,1003.19
3.63,0.25,22.5,3.35,321.71
3.63,0.25,22.5,4.88,112.66
3.63,0.25,22.5,6.4,45.02
3.63,0.25,22.5,7.92,36.82
3.63,0.25,22.5,9.45,25.58
3.63,0.25,45,2.13,303.02
3.63,0.25,45,3.35,129.83
3.63,0.25,45,4.88,55.92
3.63,0.25,45,6.4,40.4
3.63,0.25,45,7.92,26.61
3.63,0.25,45,9.45,22.41
3.63,0.25,45,2.13,281.31
3.63,0.25,45,3.35,115.63
3.63,0.25,45,4.88,64.47
3.63,0.25,45,6.4,36.96
3.63,0.25,45,7.92,26.96
3.63,0.25,45,9.45,20.27
3.63,0.25,45,2.13,278.2
3.63,0.25,45,3.35,133.9
3.63,0.25,45,4.88,57.36
3.63,0.25,45,6.4,38.75
3.63,0.25,45,7.92,26.27
3.63,0.25,45,9.45,24.13
3.63,0.25,67.5,2.13,189.26
3.63,0.25,67.5,3.35,136.24
3.63,0.25,67.5,4.88,59.43
3.63,0.25,67.5,6.4,45.37
3.63,0.25,67.5,7.92,29.23
3.63,0.25,67.5,9.45,24.34
3.63,0.25,67.5,2.13,191.67
3.63,0.25,67.5,3.35,124.38
3.63,0.25,67.5,4.88,71.15
3.63,0.25,67.5,6.4,42.61
3.63,0.25,67.5,7.92,30.06
3.63,0.25,67.5,9.45,22.48
3.63,0.25,90,2.13,202.84
3.63,0.25,90,3.35,70.46
3.63,0.25,90,4.88,35.58
3.63,0.25,90,6.4,39.99
3.63,0.25,90,7.92,28.41
3.63,0.25,90,9.45,23.92
3.63,0.25,90,2.13,335.09
3.63,0.25,90,3.35,73.22
3.63,0.25,90,4.88,37.58
3.63,0.25,90,6.4,33.99
3.63,0.25,90,7.92,27.23
3.63,0.25,90,9.45,21.51
3.63,0.25,90,2.13,315.57
3.63,0.25,90,3.35,76.6
3.63,0.25,90,4.88,38.06
3.63,0.25,90,6.4,21.65
3.63,0.25,90,7.92,26.61
3.63,0.25,90,9.45,20.55
3.63,0.25,90,2.13,239.94
3.63,0.25,90,3.35,83.15
3.63,0.25,90,4.88,37.71
3.63,0.25,90,6.4,42.33
3.63,0.25,90,7.92,28.2
3.63,0.25,90,9.45,23.86
3.63,0.25,112.5,2.13,178.09
3.63,0.25,112.5,3.35,129.21
3.63,0.25,112.5,4.88,72.19
3.63,0.25,112.5,6.4,42.89
3.63,0.25,112.5,7.92,29.99
3.63,0.25,112.5,9.45,23.1
3.63,0.25,112.5,2.13,184.16
3.63,0.25,112.5,3.35,133.83
3.63,0.25,112.5,4.88,61.36
3.63,0.25,112.5,6.4,44.82
3.63,0.25,112.5,7.92,28.27
3.63,0.25,112.5,9.45,22.13
3.63,0.25,135,2.13,338.12
3.63,0.25,135,3.35,129.83
3.63,0.25,135,4.88,56.88
3.63,0.25,135,6.4,36.89
3.63,0.25,135,7.92,26.54
3.63,0.25,135,9.45,19.58
3.63,0.25,135,2.13,280.82
3.63,0.25,135,3.35,131.35
3.63,0.25,135,4.88,56.12
3.63,0.25,135,6.4,42.33
3.63,0.25,135,7.92,27.17
3.63,0.25,135,9.45,21.44
3.63,0.25,135,2.13,291.99
3.63,0.25,135,3.35,118.25
3.63,0.25,135,4.88,65.84
3.63,0.25,135,6.4,30.06
3.63,0.25,135,7.92,25.65
3.63,0.25,135,9.45,19.86
3.63,0.25,157.5,2.13,1014.56
3.63,0.25,157.5,3.35,319.5
3.63,0.25,157.5,4.88,108.25
3.63,0.25,157.5,6.4,55.78
3.63,0.25,157.5,7.92,34.2
3.63,0.25,157.5,9.45,24.68
3.63,0.25,157.5,2.13,975.4
3.63,0.25,157.5,3.35,372.59
3.63,0.25,157.5,4.88,96.04
3.63,0.25,157.5,6.4,63.43
3.63,0.25,157.5,7.92,36.4
3.63,0.25,157.5,9.45,24.41
3.63,0.25,180,2.13,3158.35
3.63,0.25,180,3.35,310.68
3.63,0.25,180,4.88,160.99
3.63,0.25,180,6.4,72.53
3.63,0.25,180,7.92,32.54
3.63,0.25,180,9.45,22.75
3.63,0.25,180,2.13,1973
3.63,0.25,180,3.35,1041.25
3.63,0.25,180,4.88,87.91
3.63,0.25,180,6.4,46.19
3.63,0.25,180,7.92,12.89
3.63,0.25,180,9.45,25.37
3.63,0.5,0,3.35,595.71
3.63,0.5,0,4.88,117
3.63,0.5,0,6.4,68.53
3.63,0.5,0,7.92,33.99
3.63,0.5,0,9.45,24.82
3.63,0.5,45,2.13,378.11
3.63,0.5,45,3.35,159.82
3.63,0.5,45,4.88,83.5
3.63,0.5,45,6.4,57.02
3.63,0.5,45,7.92,36.27
3.63,0.5,45,9.45,28.13
3.63,0.5,90,2.13,402.86
3.63,0.5,90,3.35,138.38
3.63,0.5,90,4.88,44.54
3.63,0.5,90,6.4,40.75
3.63,0.5,90,7.92,25.58
3.63,0.5,90,9.45,24.06
3.63,0.5,90,2.13,586.68
3.63,0.5,90,3.35,106.52
3.63,0.5,90,4.88,51.09
3.63,0.5,90,6.4,27.37
3.63,0.5,90,7.92,20.96
3.63,0.5,90,9.45,17.24
3.63,0.5,90,2.13,572.33
3.63,0.5,90,3.35,122.73
3.63,0.5,90,4.88,45.23
3.63,0.5,90,6.4,30.75
3.63,0.5,90,7.92,21.24
3.63,0.5,90,9.45,17.24
3.63,0.5,135,2.13,471.39
3.63,0.5,135,3.35,152.72
3.63,0.5,135,4.88,83.36
3.63,0.5,135,6.4,48.13
3.63,0.5,135,7.92,34.2
3.63,0.5,135,9.45,25.58
3.63,0.5,180,2.13,468.91
3.63,0.5,180,3.35,63.43
3.63,0.5,180,4.88,24.48
3.63,0.5,180,6.4,16.96
3.63,0.5,180,7.92,9.03
3.63,0.5,180,9.45,10.34
3.63,0.5,180,2.13,1038.42
3.63,0.5,180,3.35,233.18
3.63,0.5,180,4.88,129.14
3.63,0.5,180,6.4,25.1
3.63,0.5,180,7.92,25.1
3.63,0.5,180,9.45,23.03
3.63,1,0,2.13,2302.37
3.63,1,0,3.35,333.64
3.63,1,0,4.88,54.47
3.63,1,0,6.4,34.96
3.63,1,0,7.92,19.72
3.63,1,0,9.45,15.86
3.63,1,0,3.35,424.3
3.63,1,0,4.88,90.53
3.63,1,0,6.4,48.06
3.63,1,0,7.92,23.58
3.63,1,0,9.45,16.06
3.63,1,0,2.13,1953.08
3.63,1,0,3.35,508.01
3.63,1,0,4.88,93.22
3.63,1,0,6.4,34.06
3.63,1,0,7.92,25.17
3.63,1,0,9.45,16.13
3.63,1,0,2.13,1732.1
3.63,1,0,3.35,440.23
3.63,1,0,4.88,111.35
3.63,1,0,6.4,44.2
3.63,1,0,7.92,26.27
3.63,1,0,9.45,16.75
3.63,1,0,2.13,1968.87
3.63,1,0,3.35,428.72
3.63,1,0,4.88,98.46
3.63,1,0,6.4,48.4
3.63,1,0,7.92,25.03
3.63,1,0,9.45,16.82
3.63,1,22.5,2.13,345.29
3.63,1,22.5,3.35,200.71
3.63,1,22.5,4.88,67.15
3.63,1,22.5,6.4,22.27
3.63,1,22.5,7.92,22.68
3.63,1,22.5,9.45,15.86
3.63,1,22.5,2.13,580.54
3.63,1,22.5,3.35,208.5
3.63,1,22.5,4.88,85.91
3.63,1,22.5,6.4,44.26
3.63,1,22.5,7.92,26.06
3.63,1,22.5,9.45,17.17
3.63,1,22.5,2.13,493.04
3.63,1,22.5,3.35,178.3
3.63,1,22.5,4.88,79.22
3.63,1,22.5,6.4,33.51
3.63,1,22.5,7.92,25.37
3.63,1,22.5,9.45,16.06
3.63,1,45,2.13,422.17
3.63,1,45,3.35,188.43
3.63,1,45,4.88,75.15
3.63,1,45,6.4,60.88
3.63,1,45,7.92,37.37
3.63,1,45,9.45,27.65
3.63,1,45,2.13,551.86
3.63,1,45,3.35,173.89
3.63,1,45,4.88,99.42
3.63,1,45,6.4,54.19
3.63,1,45,7.92,36.75
3.63,1,45,9.45,25.58
3.63,1,45,2.13,446.99
3.63,1,45,3.35,171.47
3.63,1,45,4.88,100.59
3.63,1,45,6.4,63.5
3.63,1,45,7.92,41.02
3.63,1,45,9.45,27.72
3.63,1,67.5,2.13,329.43
3.63,1,67.5,3.35,131.28
3.63,1,67.5,4.88,57.02
3.63,1,67.5,6.4,46.88
3.63,1,67.5,7.92,30.13
3.63,1,67.5,9.45,22.06
3.63,1,67.5,2.13,677
3.63,1,67.5,3.35,133.76
3.63,1,67.5,4.88,68.67
3.63,1,67.5,6.4,44.13
3.63,1,67.5,7.92,30.68
3.63,1,67.5,9.45,23.37
3.63,1,67.5,2.13,649.14
3.63,1,67.5,3.35,130.86
3.63,1,67.5,4.88,61.98
3.63,1,67.5,6.4,37.65
3.63,1,67.5,7.92,29.72
3.63,1,67.5,9.45,21.86
3.63,1,90,2.13,625.56
3.63,1,90,3.35,145.41
3.63,1,90,4.88,65.22
3.63,1,90,6.4,34.13
3.63,1,90,7.92,23.58
3.63,1,90,9.45,17.44
3.63,1,90,2.13,551.17
3.63,1,90,3.35,128.45
3.63,1,90,4.88,56.26
3.63,1,90,6.4,31.16
3.63,1,90,7.92,21.03
3.63,1,90,9.45,16.62
3.63,1,90,2.13,568.54
3.63,1,90,3.35,158.23
3.63,1,90,4.88,59.85
3.63,1,90,6.4,42.61
3.63,1,90,7.92,23.92
3.63,1,90,9.45,20.06
3.63,1,90,2.13,543.24
3.63,1,90,3.35,173.33
3.63,1,90,4.88,59.16
3.63,1,90,6.4,44.33
3.63,1,90,7.92,24.61
3.63,1,90,9.45,18.75
3.63,1,90,2.13,1589.31
3.63,1,90,3.35,230.97
3.63,1,90,4.88,66.47
3.63,1,90,6.4,36.61
3.63,1,90,7.92,24.34
3.63,1,90,9.45,18.13
3.63,1,90,2.13,547.65
3.63,1,90,3.35,143.34
3.63,1,90,4.88,64.95
3.63,1,90,6.4,38.61
3.63,1,90,7.92,25.03
3.63,1,90,9.45,17.44
3.63,1,90,2.13,618.87
3.63,1,90,3.35,166.3
3.63,1,90,4.88,58.12
3.63,1,90,6.4,41.3
3.63,1,90,7.92,24.89
3.63,1,90,9.45,19.79
3.63,1,90,2.13,523.66
3.63,1,90,3.35,148.1
3.63,1,90,4.88,65.09
3.63,1,90,6.4,34.47
3.63,1,90,7.92,26.89
3.63,1,90,9.45,18.41
3.63,1,112.5,2.13,432.58
3.63,1,112.5,3.35,138.24
3.63,1,112.5,4.88,79.77
3.63,1,112.5,6.4,56.61
3.63,1,112.5,7.92,30.13
3.63,1,112.5,9.45,25.23
3.63,1,112.5,2.13,445.26
3.63,1,112.5,3.35,137.41
3.63,1,112.5,4.88,77.08
3.63,1,112.5,6.4,53.3
3.63,1,112.5,7.92,28.48
3.63,1,112.5,9.45,25.23
3.63,1,112.5,2.13,340.12
3.63,1,112.5,3.35,156.17
3.63,1,112.5,4.88,72.6
3.63,1,112.5,6.4,50.12
3.63,1,112.5,7.92,31.1
3.63,1,112.5,9.45,25.65
3.63,1,135,2.13,409.27
3.63,1,135,3.35,164.16
3.63,1,135,4.88,82.12
3.63,1,135,6.4,46.95
3.63,1,135,7.92,33.58
3.63,1,135,9.45,25.23
3.63,1,135,2.13,513.45
3.63,1,135,3.35,189.61
3.63,1,135,4.88,91.15
3.63,1,135,6.4,53.64
3.63,1,135,7.92,31.03
3.63,1,135,9.45,25.1
3.63,1,135,2.13,421.41
3.63,1,135,3.35,182.57
3.63,1,135,4.88,72.6
3.63,1,135,6.4,54.26
3.63,1,135,7.92,32.34
3.63,1,135,9.45,26.06
3.63,1,157.5,2.13,573.99
3.63,1,157.5,3.35,157.27
3.63,1,157.5,4.88,58.81
3.63,1,157.5,6.4,32.2
3.63,1,157.5,7.92,24.61
3.63,1,157.5,9.45,20.96
3.63,1,157.5,2.13,818.89
3.63,1,157.5,3.35,168.23
3.63,1,157.5,4.88,70.74
3.63,1,157.5,6.4,37.23
3.63,1,157.5,7.92,20.75
3.63,1,157.5,9.45,16.06
3.63,1,157.5,2.13,342.88
3.63,1,157.5,3.35,141.76
3.63,1,157.5,4.88,57.43
3.63,1,157.5,6.4,37.51
3.63,1,157.5,7.92,27.17
3.63,1,157.5,9.45,22.27
3.63,1,180,2.13,911.69
3.63,1,180,3.35,248.21
3.63,1,180,4.88,77.01
3.63,1,180,6.4,36.82
3.63,1,180,7.92,22.68
3.63,1,180,9.45,14.89
3.63,1,180,2.13,1055.93
3.63,1,180,3.35,85.63
3.63,1,180,4.88,24.55
3.63,1,180,6.4,39.78
3.63,1,180,7.92,22.41
3.63,1,180,9.45,15.86
3.63,1,180,2.13,885.43
3.63,1,180,3.35,217.39
3.63,1,180,4.88,81.84
